,name_vacancy,salary_min,salary_max,salary_currency,url_vacancy,source
63,Курьер в интернет-магазин,,150 000,руб.,https://hh.ru/vacancy/46243766?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
64,Водитель-курьер на своем автомобиле,60 000,100 000,руб.,https://hh.ru/vacancy/43910112?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
65,Пеший курьер,36 000,39 000,руб.,https://hh.ru/vacancy/47307324?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
66,Курьер,35 000,35 000,руб.,https://hh.ru/vacancy/46980636?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
67,Водитель-курьер,60 000,65 000,руб.,https://hh.ru/vacancy/47307369?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
68,Водитель-курьер (экспедитор) с личным легковым автомобилем,90 000,150 000,руб.,https://hh.ru/vacancy/47203768?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
69,Курьер по доставке банковских карт,60 000,90 000,руб.,https://hh.ru/vacancy/47179065?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
70,Водитель-курьер,,,,https://hh.ru/vacancy/47174076?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
71,Курьер,35 000,35 000,руб.,https://hh.ru/vacancy/47203998?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
72,Курьер,40 000,85 000,руб.,https://hh.ru/vacancy/47306566?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
73,Внутренний курьер в банк,25 000,25 000,руб.,https://hh.ru/vacancy/47187912?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
74,Пеший курьер,30 000,37 500,руб.,https://hh.ru/vacancy/44519516?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
75,Пеший курьер,,37 500,руб.,https://hh.ru/vacancy/47147387?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
76,Пеший курьер,,37 500,руб.,https://hh.ru/vacancy/42582838?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
77,Водитель-курьер на личном автомобиле,60 000,110 000,руб.,https://hh.ru/vacancy/42231340?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
78,Водитель-курьер на маршруте,,110 000,руб.,https://hh.ru/vacancy/47156124?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
79,Водитель-курьер,,110 000,руб.,https://hh.ru/vacancy/44265019?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
80,Водитель-курьер на автомобиле компании(м.Варшавская),,120 000,руб.,https://hh.ru/vacancy/46607440?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
81,Водитель-курьер на автомобиле компании(ул.Рябиновая),,120 000,руб.,https://hh.ru/vacancy/46479740?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
82,Пеший курьер,45 000,65 000,руб.,https://hh.ru/vacancy/46888517?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
